ID,none_clear,low_clear,med_clear,high_clear,none_blur,low_blur,med_blur,high_blur
1,46,55,68,44,15,31,70,41
2,44,61,72,51,20,34,72,46
3,51,59,79,38,21,28,66,47
4,34,45,51,37,26,30,63,38
5,55,58,45,45,11,34,74,38
6,29,64,74,39,19,33,76,50
7,34,60,79,46,16,34,60,46
8,44,57,66,51,21,36,58,44
9,50,61,59,40,22,26,74,38
10,41,63,68,50,18,29,62,40
11,46,58,72,47,17,30,68,46
12,47,55,74,55,20,27,65,40
13,38,44,70,46,24,31,66,38
14,38,47,61,53,25,27,70,42
15,50,20,58,51,19,30,74,47
16,46,51,74,42,17,26,68,36
17,44,54,78,46,17,28,69,25
18,38,48,69,51,21,20,71,39
19,40,50,70,47,22,14,64,41
20,46,52,66,41,25,24,69,42
